ï»¿datetime,platform,username,candidate_name,text,comment_count,view_count,like_count,Sentiment,clean_tweet,remov_stop_words_tweet,lematiz_tweet
2024-03-07 20:12:26,X,nostromo71,Claudia Sheinbaum,"A esta miserabl3 le espera el bote @AnaGGuevara

#NarcoPresidenteAMLO16 #NarcoCandidataClaudia14

Guenasumadre @Claudiashein @lopezobrador_ https://t.co/DS8y0d56dS",0,0,0,negative,a esta miserabl le espera el bote guenasumadre,miserabl espera bote guenasumadre,miserabl esperar bote guenasumadre
2024-01-05 23:59:04,X,fluis1962,XÃ³chitl GÃ¡lvez,'@kenialopezr @XochitlGalvez @El_Universal_Mx Vieja TÃXICA  asÃ­ o mÃ¡s https://t.co/w8JHo6rVsT,0,0,0,negative,vieja taxica asa o mas,vieja taxica asa mas,viejo taxico asa ma
2024-04-05 04:57:52,X,GeorgeLaSelva75,Claudia Sheinbaum,"'@ErnestinaGodoy_ @ClaraBrugadaM OcultÃ³ mi pregunta y se la hago de nuevo , corrupta 

Â¿Por quÃ© nunca investigÃ³ a @Claudiashein y Florencia SerranÃ­a por la caÃ­da de la LÃ­nea 12?

Cobarde y corrupta",0,0,0,negative,oculta mi pregunta y se la hago de nuevo corrupta apor qua nunca investiga a y florencia serranaa por la caada de la lanea cobarde y corrupta,oculta pregunta hago nuevo corrupta apor qua nunca investiga florencia serranaa caada lanea cobarde corrupta,oculto pregunta hacer nuevo corrupto apor qua nunca investigar florencia serranaa caado lanea cobarde corrupto
2024-02-06 22:53:02,X,manolos72,Claudia Sheinbaum,'@MarkAndTonic @XochitlGalvez @Claudiashein Si se nota desesperaciÃ³n en la chairiza y sus bots,0,0,0,negative,si se nota desesperacian en la chairiza y sus bots,si nota desesperacian chairiza bots,si notar desesperaciar chairizar bot
2024-02-27 15:34:57,X,latiaprotesoff,XÃ³chitl GÃ¡lvez,"'@lumendoz @SergioSalomonC @XochitlGalvez Nos compartes los piojos del peine?
O tambiÃ©n esto va a quedar en calumnias?
Sabes que es lo peor?
Que nadie te cree, por quÃ© eres una vulgar mercenaria de la informaciÃ³n.",0,0,0,negative,nos compartes los piojos del peine o tambian esto va a quedar en calumnias sabes que es lo peor que nadie te cree por qua eres una vulgar mercenaria de la informacian,compartes piojos peine tambian va quedar calumnias sabes peor nadie cree qua vulgar mercenaria informacian,compart piojo peine tambiar ir quedar calumnia saber peor nadie creer qua vulgar mercenario informaciar
2024-01-17 21:52:58,X,EmilioVallejoRL,XÃ³chitl GÃ¡lvez,'@lopezdoriga Bien les dijo @XochitlGalvez a medios y empresarios: No afilen la guillotina que el rÃ©gimen usarÃ¡ contra ustedes.,0,0,0,negative,bien les dijo a medios y empresarios no afilen la guillotina que el ragimen usara contra ustedes,bien dijo medios empresarios afilen guillotina ragimen usara ustedes,bien decir medio empresario afilir guillotina ragimen usar tú
2024-03-25 17:37:22,X,RuidoEnLaRed,XÃ³chitl GÃ¡lvez,"""En Campeche la gobernadora (Layda Sansores) siempre fue una gobernadora frÃ­vola""

@XochitlGalvez se lanza contra @LaydaSansores luego de ser cuestionada por las manifestaciones en el estado donde pides su destituciÃ³n. https://t.co/ikT7GzmAUi",0,0,0,negative,en campeche la gobernadora layda sansores siempre fue una gobernadora fravola se lanza contra luego de ser cuestionada por las manifestaciones en el estado donde pides su destitucian,campeche gobernadora layda sansores siempre gobernadora fravola lanza luego ser cuestionada manifestaciones pides destitucian,campeche gobernadoro layda sansor siempre gobernadora fravolo lanza luego ser cuestionado manifestación pid destituciar
2024-04-15 00:33:10,X,victordario120,XÃ³chitl GÃ¡lvez,"â9 DE CADA 10 SPOTS DE TV DE MORENA Y ALIADOS SALE @Claudiashein Y 2 DE CADA 10 SPOTS DE TV DEL PRI, PAN Y PRD SALE @XochitlGalvez  QUE PASO DERECHANGOS? LES DA VERGUENZA LA BOTARGA QUE NI POR TELEVISION ABIERTA LA QUIEREN ANUNCIARðð¤£
SE LES VIENE UN TSUNAMI
#ClaudiaArrasa â¤ï¸ https://t.co/fs79Alp3PA",96,0,384,negative,a de cada spots de tv de morena y aliados sale y de cada spots de tv del pri pan y prd sale que paso derechangos les da verguenza la botarga que ni por television abierta la quieren anunciar se les viene un tsunami ai,cada spots tv morena aliados sale cada spots tv pri pan prd sale paso derechangos da verguenza botarga television abierta quieren anunciar viene tsunami ai,cada spot tv morena aliado salir cada spot tv pri pan prd salir paso derechango dar verguenza botarga television abierto querer anunciar venir tsunami ai
2024-03-07 23:45:20,X,JerryMi88147436,Claudia Sheinbaum,"'@EmilioAlvarezI @Claudiashein @ClaraBrugadaM @GN_MEXICO_ @XochitlGalvez @Alc_Iztapalapa @FGRMexico @rosaicela_ Esto es gravÃ­simo, se debe hacer pÃºblico a los cuatro vientos. 
Por cierto, estamos con usted Don @EmilioAlvarezI !",0,0,0,negative,esto es gravasimo se debe hacer pablico a los cuatro vientos por cierto estamos con usted don,gravasimo debe hacer pablico cuatro vientos cierto usted don,gravasimo deber hacer pablico cuatro viento cierto usted don
2024-04-26 00:02:14,X,euripidesf,Claudia Sheinbaum,"ABERRACIÃN ELECTORAL ð¤¦ð½

El @iecm resolviÃ³ en fast track la censura promovida por el lÃ­der del CÃ¡rtel Inmobiliario, Santiago Tajada en contra de @claudiashein y @ClaraBrugadaM. 

Â¡NO ESTÃN SOLAS! Porque la autoridad electoral NO puede silenciar al PUEBLO. HAY QUE DIFUNDIRLO ð¨ https://t.co/y1CvSOxzx6",285,0,2424,negative,aberracian electoral el resolvia en fast track la censura promovida por el lader del cartel inmobiliario santiago tajada en contra de y ano estan solas porque la autoridad electoral no puede silenciar al pueblo hay que difundirlo,aberracian electoral resolvia fast track censura promovida lader cartel inmobiliario santiago tajada ano estan solas autoridad electoral puede silenciar pueblo difundirlo,aberraciar electoral resolvia fast track censuro promovido lader cartel inmobiliario santiago tajado ano estir solo autoridad electoral poder silenciar pueblo difundir él
